ulasan,rating
Jelek,2
Keren gamenya,5
game nya bagus tapi grafik nya kurang,4
Mboh,5
Game nya bagus cuman belum perna maen ini game aku hamya ikutan komenan aja,1
Maen game nya sambil makan jengkol goreng manteeeeep,5
Ahog 😱,5
"Game ini sangat berkelas, kayak duta kelas tapi kurang seru karena gak bisa mencoba next level",5
"Game Nya Mantap min, Tinggal Tunggu Update Berikutnya Tambahin Karakter tuan Mahalini",5
Kibarkan saya kemerdekaan superemasiii partai banteng MERAH,5
Jokowi😁😅,5
"Download gar"" liat bg Qorygore maen 😅",5
Kurang Bu mega nih sama pak Luhut jhahaha :v,3
Sangat inspiratif,5
Ok aj,5
Iya,5
Mantap ajg,5
"Waw sangat emejing sekalih, setelah memainkan game ini Jiwa 3 periode saya tinggi. YKNTS",5
game gk jelas njeng,1
Gamenya bagus,5
GG Jokowi🗿,5
Hulu ruksak,5
Komtolodong,2
MKST LOH AFFH?!!!! MUSUH PAKE SENAPAN GWEHJ TANGAN KOSONG.. katanya jokowi tokohnya ahok,1
game apaan cok gajelas,1
"Ini game bagus banget,, plis jangan diBlokir ya ""Kominfo""",5
"Gamenya bagus, tambahkan chr puan Maharani ya bang",4
Owi,5
"Game nya bgus bg, cuma kadang agak bug tpi gpp semangat terus ya bikin game indonesia",4
Ga bisa di install,1
Next update kasih karakter baru yaitu Pak Presiden Soeharto,5
Bintang 1. Ultimatenya ga sampe 3 periode,1
"Setelah memainkan game ini saya merasa kalau anak bangsa mempunyai bakat yg luar biasa mungkin 170 tahun lgi game"" Karya lokal ini bakal meningkat kualitasnya bahkan bisa melampaui game"" Terkenal seperti GTA san andreas, bahkan platform seperti steam pun akan sepi dan ketar ketirr karena kalah denga game karya anak bangsa yang super epikk, btw game ini jalan ceritanya bagus menceritakan seorang MC yg berjuang mensejahterakan masyarakat dari mafia minyak goreng dan bansos",5
kapan update nya?,4
"gamenya lebay banget -harusnya ada adegan masuk gorong gorong -harusnya ada karakter megawati, tompelnya gedein -harusnya musuhan sama habib riziq",1
Sebagai warga yang baik aku kasih bintang 5,5
"Games nya bagus banget, sedikit saran tambahin karakter presiden ke 5 🔥🔥🔥",5
Game nya bagus bangettt,5
Maenkan sebelum dilarang 😅,4
Tolong gamenya ada mode blusukan.,4
tidak ramah untuk anak anak,1
jokowiiiiii,5
"Bug. Fashion. Bukan petualangan, kaya tawuran.",1
Tambah tsunade dong kalo bisa,5
Good,5
Jokowi dsni tidak menjadi tameng nya bu mega,1
GAME TIDAK JELAS,1
Gw kok gk bs install bang? Belom daftar pse kah?,5
aku kok gabisa install woi?,5
"Nggk ada orang yg peduli, lemah karakternya. Misi pertama udah kek lawan raja",1
"Tambahkan megawati, puan dan tokoh² pdip yang lainya",5
"Ini game yg saya cari², cocok dimainkan utk alumni kos Hikmah maupun mereka yg masih menimba ilmu di sana. Tapi ini amankan? Gak ada tukang bakso yg tiba² mangkal di depan rumah?",5
Tidak sedikitpun,1
